		名詞	
@あいうた	待ってて愛のうた	名詞	
@あおじゃん	青空Jumping Heart	名詞	
@おもい	想いよひとつになれ	名詞	
@おもひと	想いよひとつになれ	名詞	
@かいがんどおり	海岸通りで待ってるよ	名詞	
@きみここ	君のこころは輝いてるかい?	名詞	
@ぎるない	Guilty Night, Guilty Kiss!	名詞	
@ぎんかく	GALAXY HidE and SeeK	名詞	
@きんみらい	近未来ハッピーエンド	名詞	
@きんめだい	近未来ハッピーエンド	名詞	
@こいあく	恋になりたいAQUARIUM	名詞	
@じーでれら	G線上のシンデレラ	名詞	
@じもあい	地元愛♡満タン☆サマーライフ	名詞	
@しゃどげ	Shadow gate to love	名詞	
@しょうじょこい	少女以上の恋がしたい	名詞	
@じんぐる	ジングルベルがとまらない	名詞	
@すととら	Strawberry Trapper	名詞	
@すりわん	スリリング・ワンウェイ	名詞	
@せいいの	聖なる日の祈り	名詞	
@ぜろわん	Step! ZERO to ONE	名詞	
@そらここ	空も心も晴れるから	名詞	
@だだだ	ダイスキだったらダイジョウブ！	名詞	
@でいでいでい	元気全開DAY！DAY！DAY！	名詞	
@でいどり	Daydream Warrior	名詞	
@ときめき	ときめき分類学	名詞	
@とどほし	届かない星だとしても	名詞	
@とりこりこ	トリコリコPLEASE!!	名詞	
@なつとびえんど	夏への扉 Never end ver.	名詞	
@なつねば	夏への扉 Never end ver.	名詞	
@はには	決めたよHand in Hand	名詞	
@はぴとれ	HAPPY PARTY TRAIN	名詞	
@はみふれ	ハミングフレンド	名詞	
@はんどいんはんど	決めたよHand in Hand	名詞	
@ひーろー	Aqours☆HEROES	名詞	
@ぴっかぴか	サンシャインぴっかぴか音頭	名詞	
@へろ	Aqours☆HEROES	名詞	
@ぽっぷす	Pops heartで踊るんだもん！	名詞	
@まいまい	MY舞☆TONIGHT	名詞	
@まいりす	“MY LIST” to you!	名詞	
@まちうた	待ってて愛のうた	名詞	
@みどり	未熟DREAMER	名詞	
@みらちけ	MIRAI TICKET	名詞	
@みらぼく	未来の僕らは知ってるよ	名詞	
@ゆうきみ	勇気はどこに?君の胸に!	名詞	
@ゆめよぞら	夢で夜空を照らしたい	名詞	
@よぞら	夜空はなんでも知ってるの？	名詞	
@らんあく	Landing action Yeah!!	名詞	
@わくわく	Waku-Waku-Week!	名詞	
